epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.5322371125221252,0.4405231177806854,0.5561279058456421,1e-05,0.6353066563606262,0.6084760427474976,0.44540277123451233,0.35496652126312256,0.6469634771347046,0.6096019744873047,0.5079140663146973
1,0.5807030200958252,0.49160340428352356,0.5038453936576843,1e-05,0.688990592956543,0.6446772813796997,0.06265389919281006,0.025928832590579987,1.3089007139205933,0.48454785346984863,0.02279570698738098
2,0.6089451313018799,0.515198826789856,0.4754517674446106,1e-05,0.7265136241912842,0.6687858700752258,0.43095025420188904,0.27450817823410034,0.6664424538612366,0.853729248046875,0.2894607484340668
3,0.6817446947097778,0.6035698652267456,0.3930974006652832,1e-05,0.7924578189849854,0.7297332286834717,0.5047590136528015,0.39662426710128784,0.7988330721855164,0.41815462708473206,0.8856796622276306
4,0.7135767936706543,0.626388430595398,0.3578140437602997,1e-05,0.8184576630592346,0.760582447052002,0.7247192859649658,0.6278678178787231,0.3610207736492157,0.7825942635536194,0.802638590335846
5,0.7413803935050964,0.654729962348938,0.3297531306743622,1e-05,0.8366398215293884,0.7803455591201782,0.5900017023086548,0.4850544333457947,0.5394243597984314,0.6609596610069275,0.6346637606620789
6,0.7694867253303528,0.6964015960693359,0.29564711451530457,1e-05,0.856052577495575,0.8040134310722351,0.6302040815353394,0.6008548736572266,0.4344847500324249,0.7668255567550659,0.8037190437316895
7,0.7838752269744873,0.7125128507614136,0.279267281293869,1e-05,0.8722605109214783,0.8155043721199036,0.5076359510421753,0.36586856842041016,0.7611014246940613,0.40157485008239746,0.9460952877998352
8,0.7935857772827148,0.7228693962097168,0.27252331376075745,1e-05,0.874622642993927,0.8237378597259521,0.719743549823761,0.6069381237030029,0.34127384424209595,0.8795477747917175,0.7192955017089844
9,0.8008023500442505,0.7400503754615784,0.25862371921539307,1e-05,0.8884815573692322,0.8371013402938843,0.5785368084907532,0.4380548596382141,0.719336986541748,0.474162220954895,0.9703527688980103
10,0.825273871421814,0.7634807825088501,0.23062820732593536,1e-06,0.8935081958770752,0.8639963269233704,0.7870772480964661,0.6916530728340149,0.26591312885284424,0.9052488803863525,0.7870215177536011
11,0.8237442374229431,0.7662193179130554,0.23428875207901,1e-06,0.8943158984184265,0.8498358726501465,0.8022997975349426,0.721463680267334,0.2544976770877838,0.8549803495407104,0.88309645652771
12,0.7656005024909973,0.6875134110450745,0.2940329909324646,1e-06,0.8605913519859314,0.8153459429740906,0.8127974271774292,0.7425448894500732,0.25867760181427,0.8464963436126709,0.8960946202278137
13,0.7545631527900696,0.6747682094573975,0.2996804714202881,1e-06,0.8475836515426636,0.8136885762214661,0.8006147742271423,0.7330052852630615,0.27772757411003113,0.8242505192756653,0.9047979116439819
14,0.7625586986541748,0.6818932890892029,0.29149892926216125,1e-06,0.8517751693725586,0.8265087604522705,0.815850555896759,0.7464482188224792,0.23738063871860504,0.8845405578613281,0.8535637855529785
15,0.7836934924125671,0.7017455101013184,0.26714521646499634,1e-06,0.8689348101615906,0.8396161794662476,0.82471764087677,0.7507545948028564,0.23459099233150482,0.8736687302589417,0.8770633339881897
16,0.797063946723938,0.7276167273521423,0.25548121333122253,1e-06,0.8753986358642578,0.8434097170829773,0.8203336596488953,0.7514142990112305,0.2317422777414322,0.8860661387443542,0.8641921281814575
17,0.8243678212165833,0.7542475461959839,0.22333043813705444,1e-06,0.8967054486274719,0.8670886158943176,0.814059317111969,0.7359216213226318,0.23625844717025757,0.9054386615753174,0.8227716684341431
18,0.828507661819458,0.7604392170906067,0.21827368438243866,1e-06,0.8993302583694458,0.8690744042396545,0.8288892507553101,0.7551975250244141,0.22279156744480133,0.8849014639854431,0.8727714419364929
19,0.826766848564148,0.7587353587150574,0.22448475658893585,1e-06,0.8945462107658386,0.8634260296821594,0.819364070892334,0.7401812672615051,0.23751914501190186,0.8568082451820374,0.9021414518356323
20,0.8480072617530823,0.7912103533744812,0.1988239884376526,1e-06,0.9117459654808044,0.8751550316810608,0.826822817325592,0.7504185438156128,0.22308966517448425,0.8885282874107361,0.8710278868675232
21,0.8430497050285339,0.7746042609214783,0.20742827653884888,1e-06,0.9061092138290405,0.8669126033782959,0.8237356543540955,0.7474509477615356,0.22749640047550201,0.8820285201072693,0.875314474105835
22,0.853542149066925,0.7992445230484009,0.19165895879268646,1e-06,0.9192867875099182,0.8778056502342224,0.8260565996170044,0.7425256371498108,0.22130008041858673,0.8919761180877686,0.8665629029273987
23,0.8563452363014221,0.8022555112838745,0.186889186501503,1e-06,0.918816864490509,0.8890367150306702,0.8211636543273926,0.7426816821098328,0.22663235664367676,0.8940524458885193,0.8625599145889282
24,0.8485863208770752,0.7900425791740417,0.20501230657100677,1e-07,0.9069289565086365,0.8727114200592041,0.8368071913719177,0.7587445974349976,0.21539537608623505,0.8879694938659668,0.8885360956192017
25,0.8348298072814941,0.7741442322731018,0.22322513163089752,1e-07,0.9002087712287903,0.8534349203109741,0.8419269323348999,0.7668176293373108,0.21439418196678162,0.8817439675331116,0.8985044956207275
26,0.770332932472229,0.6855495572090149,0.2846473455429077,1e-07,0.8614956140518188,0.8256903290748596,0.8393030166625977,0.7675222754478455,0.2232820689678192,0.8758227229118347,0.8986144065856934
27,0.7821682095527649,0.7031962871551514,0.27299293875694275,1e-07,0.8563913106918335,0.8361806869506836,0.8357347846031189,0.7649815082550049,0.22739344835281372,0.8750692009925842,0.8906915187835693
28,0.7908012866973877,0.7088481187820435,0.2613885998725891,1e-07,0.8722223043441772,0.8491305112838745,0.8390418887138367,0.7663195133209229,0.21860863268375397,0.886906087398529,0.8811476826667786
29,0.794533908367157,0.71242356300354,0.26022377610206604,1e-07,0.8717461824417114,0.8467084169387817,0.8402518630027771,0.7680159211158752,0.21477432548999786,0.8832363486289978,0.8917443752288818
30,0.8303627371788025,0.7664602994918823,0.21655544638633728,1e-07,0.8970959186553955,0.8705793023109436,0.8366941809654236,0.7623659372329712,0.2164756953716278,0.8858607411384583,0.8835628628730774
31,0.8317344784736633,0.7591354846954346,0.21676447987556458,1e-07,0.9001432657241821,0.87143874168396,0.8366860151290894,0.7637617588043213,0.2140326052904129,0.8929167985916138,0.8770075440406799
32,0.8447397351264954,0.7796220183372498,0.19807104766368866,1e-07,0.9093905091285706,0.8822006583213806,0.8396903872489929,0.7650502920150757,0.21502259373664856,0.8784586191177368,0.89716637134552
33,0.8407459259033203,0.7774462699890137,0.2081914097070694,1e-07,0.901152491569519,0.8795297145843506,0.8356091380119324,0.7619323134422302,0.21441076695919037,0.8876294493675232,0.885547935962677
34,0.8538649082183838,0.800157368183136,0.1909286230802536,1e-07,0.9133485555648804,0.8828988075256348,0.8362216353416443,0.7600332498550415,0.21305541694164276,0.8873115181922913,0.8875887393951416
